Frequentie (Hz),Spanning (V),Fase (degrees)
332.998,0.491,53.137
332.998,0.491,53.155
333.475,0.491,53.139
333.997,0.491,53.419
334,0.491,53.429
334.001,0.491,53.446
334.002,0.491,53.438
334.006,0.491,53.464
335,0.492,53.698
335.001,0.492,53.703
335.001,0.492,53.702
335.001,0.492,53.709
335.984,0.492,53.916
335.998,0.492,53.953
335.999,0.492,53.958
336.001,0.492,53.975
336.131,0.492,53.924
336.998,0.492,54.217
336.999,0.492,54.211
337,0.492,54.216
337.001,0.492,54.229
337.997,0.492,54.457
337.997,0.492,54.454
337.998,0.492,54.473
338.001,0.492,54.48
338.998,0.492,54.72
338.999,0.492,54.724
339,0.492,54.727
339.003,0.492,54.733
339.999,0.492,54.969
339.999,0.492,54.974
339.999,0.492,54.973
339.999,0.492,54.974
340,0.492,54.973
340.442,0.492,54.867
340.997,0.492,55.211
340.998,0.492,55.207
340.999,0.492,55.217
340.999,0.492,55.215
340.999,0.492,55.218
341,0.492,55.22
341.995,0.493,55.432
341.999,0.493,55.45
341.999,0.493,55.449
342.001,0.493,55.452
342.996,0.493,55.671
342.996,0.493,55.671
342.998,0.493,55.688
343,0.493,55.698
343.998,0.493,55.923
343.998,0.493,55.927
343.999,0.493,55.917
344,0.493,55.924
344.001,0.493,55.934
344.998,0.493,56.135
344.999,0.493,56.151
344.999,0.493,56.158
345,0.493,56.154
345.001,0.493,56.154
345.003,0.493,56.176
345.999,0.493,56.372
346,0.493,56.375
346,0.493,56.379
346,0.493,56.378
346.001,0.493,56.378
346.997,0.493,56.587
346.998,0.493,56.586
346.999,0.493,56.604
346.999,0.493,56.607
346.999,0.493,56.6
347.085,0.493,56.509
347.996,0.493,56.793
347.996,0.493,56.754
347.997,0.493,56.753
347.997,0.493,56.799
347.997,0.493,56.799
347.997,0.493,56.739
347.997,0.493,56.805
347.999,0.493,56.771
348,0.493,56.83
348,0.493,56.754
348.999,0.494,57.026
348.999,0.493,57.032
348.999,0.494,57.032
348.999,0.494,57.038
348.999,0.494,57.028
349.001,0.494,57.002
349.997,0.494,57.226
349.998,0.494,57.231
349.998,0.494,57.23
349.998,0.494,57.236
349.999,0.494,57.237
349.999,0.494,57.241
350.997,0.494,57.442
350.997,0.494,57.434
350.998,0.494,57.436
350.999,0.494,57.446
350.999,0.494,57.457
351.001,0.494,57.458
351.997,0.494,57.644
351.998,0.494,57.65
351.998,0.494,57.659
351.999,0.494,57.649
352,0.494,57.655
352.997,0.494,57.838
352.997,0.494,57.849
352.999,0.494,57.854
352.999,0.494,57.858
353,0.494,57.863
353.002,0.494,57.872
353.997,0.494,58.036
353.998,0.494,58.059
353.999,0.494,58.058
353.999,0.494,58.06
354.998,0.494,58.248
354.999,0.494,58.257
354.999,0.494,58.263
355,0.494,58.253
355.997,0.494,58.442
356.001,0.494,58.457
356.002,0.494,58.465
356.004,0.494,58.473
356.997,0.494,58.621
356.999,0.494,58.633
357,0.494,58.636
357,0.494,58.649
357.997,0.495,58.807
357.997,0.495,58.812
358,0.495,58.829
358,0.495,58.827
358.14,0.495,58.652
358.996,0.495,58.991
358.998,0.495,59.011
358.999,0.495,59.008
359,0.495,59.023
359.996,0.495,59.174
359.998,0.495,59.195
359.999,0.495,59.189
360,0.495,59.206
360.997,0.495,59.352
360.998,0.495,59.367
360.999,0.495,59.37
361,0.495,59.38
361.994,0.495,59.517
361.999,0.495,59.546
362.002,0.495,59.57
362.003,0.495,59.577
362.998,0.495,59.73
362.998,0.495,59.721
363,0.495,59.723
363.004,0.495,59.745
363.999,0.495,59.916
364,0.495,59.893
364,0.495,59.912
364.001,0.495,59.902
364.995,0.495,60.049
364.997,0.495,60.055
364.999,0.495,60.08
365,0.495,60.07
365,0.495,60.069
365.995,0.495,60.216
365.997,0.495,60.221
365.998,0.495,60.226
366.004,0.495,60.265
366.316,0.495,60.144
366.997,0.495,60.381
366.998,0.495,60.382
367.002,0.495,60.43
367.002,0.495,60.409
367.999,0.495,60.562
368,0.496,60.561
368,0.496,60.565
368.002,0.495,60.58
369.001,0.496,60.73
369.001,0.496,60.734
369.001,0.496,60.733
369.004,0.496,60.732
369.997,0.496,60.862
369.997,0.496,60.863
370.002,0.496,60.897
370.003,0.496,60.894
370.004,0.496,60.895
370.999,0.496,61.04
371,0.496,61.052
371.003,0.496,61.069
371.003,0.496,61.054
371.996,0.496,61.182
371.998,0.496,61.184
371.999,0.496,61.189
372,0.496,61.191
372.001,0.496,61.195
372.995,0.496,61.316
372.996,0.496,61.324
372.997,0.496,61.335
373,0.496,61.336
373.001,0.496,61.364
373.994,0.496,61.467
373.998,0.496,61.489
373.998,0.496,61.491
374.002,0.496,61.506
374.996,0.496,61.624
374.998,0.496,61.64
374.998,0.496,61.631
375.001,0.496,61.644
375.998,0.496,61.774
376,0.496,61.8
376.001,0.496,61.795
376.001,0.496,61.805
376.998,0.496,61.917
376.999,0.496,61.922
377.002,0.496,61.954
